sample_id,row,col,revealed_at,committed_class,commit_prob,solvable
0,0,0,95,0,1.0,1
0,0,1,61,0,1.0,1
0,0,2,10,0,1.0,1
0,0,3,19,0,1.0,1
0,0,4,90,0,1.0,1
0,0,5,69,0,1.0,1
0,0,6,22,0,1.0,1
0,0,7,1,0,1.0,1
0,0,8,75,0,1.0,1
0,0,9,50,0,1.0,1
0,1,0,6,0,1.0,1
0,1,1,62,1,0.98691,1
0,1,2,31,1,0.60933,1
0,1,3,96,1,0.98793,1
0,1,4,36,0,0.53135,1
0,1,5,68,0,1.0,1
0,1,6,70,0,1.0,1
0,1,7,21,0,0.98961,1
0,1,8,54,0,1.0,1
0,1,9,14,0,1.0,1
0,2,0,47,0,1.0,1
0,2,1,40,3,0.13245,1
0,2,2,97,3,0.96072,1
0,2,3,59,4,0.287,1
0,2,4,64,0,0.70615,1
0,2,5,46,0,0.99672,1
0,2,6,17,0,0.90262,1
0,2,7,11,0,0.81181,1
0,2,8,49,0,1.0,1
0,2,9,60,0,1.0,1
0,3,0,53,0,1.0,1
0,3,1,25,1,0.71347,1
0,3,2,4,4,0.08073,1
0,3,3,99,1,0.99974,1
0,3,4,16,0,0.66906,1
0,3,5,13,0,0.64761,1
0,3,6,39,0,0.99822,1
0,3,7,63,0,1.0,1
0,3,8,3,0,0.89189,1
0,3,9,98,0,1.0,1
0,4,0,66,0,1.0,1
0,4,1,51,1,0.72907,1
0,4,2,85,3,0.99858,1
0,4,3,80,1,0.96758,1
0,4,4,30,1,0.12138,1
0,4,5,79,0,0.98437,1
0,4,6,88,0,1.0,1
0,4,7,8,0,0.90669,1
0,4,8,2,0,0.52626,1
0,4,9,92,0,1.0,1
0,5,0,37,0,1.0,1
0,5,1,52,1,0.53223,1
0,5,2,84,4,0.25252,1
0,5,3,76,1,0.90777,1
0,5,4,34,0,0.54532,1
0,5,5,48,0,0.99645,1
0,5,6,43,0,0.99775,1
0,5,7,57,0,1.0,1
0,5,8,87,0,1.0,1
0,5,9,56,0,1.0,1
0,6,0,82,0,1.0,1
0,6,1,32,1,0.65824,1
0,6,2,26,1,0.48425,1
0,6,3,74,3,0.99468,1
0,6,4,18,2,0.02074,1
0,6,5,89,0,0.99734,1
0,6,6,73,0,0.99973,1
0,6,7,77,0,1.0,1
0,6,8,5,0,0.87388,1
0,6,9,38,0,1.0,1
0,7,0,33,0,1.0,1
0,7,1,91,4,0.99997,1
0,7,2,9,1,0.32851,1
0,7,3,67,1,0.51001,1
0,7,4,42,0,0.82574,1
0,7,5,86,0,0.99995,1
0,7,6,55,0,0.99943,1
0,7,7,65,0,0.99999,1
0,7,8,81,0,1.0,1
0,7,9,41,0,1.0,1
0,8,0,0,0,1.0,1
0,8,1,83,0,0.07891,1
0,8,2,7,1,0.5024,1
0,8,3,58,1,0.64781,1
0,8,4,71,0,0.68971,1
0,8,5,35,0,0.89302,1
0,8,6,28,0,0.84426,1
0,8,7,78,0,1.0,1
0,8,8,20,0,0.85771,1
0,8,9,94,0,1.0,1
0,9,0,12,0,1.0,1
0,9,1,45,0,1.0,1
0,9,2,72,0,1.0,1
0,9,3,93,0,1.0,1
0,9,4,44,0,1.0,1
0,9,5,29,0,1.0,1
0,9,6,15,0,1.0,1
0,9,7,27,0,1.0,1
0,9,8,23,0,1.0,1
0,9,9,24,0,1.0,1
25,0,0,58,0,1.0,1
25,0,1,12,0,1.0,1
25,0,2,33,0,1.0,1
25,0,3,4,0,1.0,1
25,0,4,48,0,1.0,1
25,0,5,94,0,1.0,1
25,0,6,44,0,1.0,1
25,0,7,89,0,1.0,1
25,0,8,11,0,1.0,1
25,0,9,67,0,1.0,1
25,1,0,29,0,1.0,1
25,1,1,86,0,1.0,1
25,1,2,47,0,0.99801,1
25,1,3,72,0,1.0,1
25,1,4,75,0,1.0,1
25,1,5,83,0,1.0,1
25,1,6,52,0,0.10764,1
25,1,7,46,1,0.16787,1
25,1,8,23,0,0.61584,1
25,1,9,70,0,1.0,1
25,2,0,39,0,1.0,1
25,2,1,6,0,0.64329,1
25,2,2,93,0,1.0,1
25,2,3,31,0,0.97389,1
25,2,4,15,0,0.7338,1
25,2,5,53,0,0.75194,1
25,2,6,71,1,0.81781,1
25,2,7,30,1,0.14403,1
25,2,8,66,0,0.62247,1
25,2,9,56,0,1.0,1
25,3,0,80,0,1.0,1
25,3,1,26,0,0.98995,1
25,3,2,92,0,1.0,1
25,3,3,97,0,1.0,1
25,3,4,49,0,0.95448,1
25,3,5,61,0,0.43941,1
25,3,6,57,4,0.09404,1
25,3,7,82,3,0.73897,1
25,3,8,74,1,0.45803,1
25,3,9,84,0,1.0,1
25,4,0,16,0,1.0,1
25,4,1,14,0,0.89456,1
25,4,2,65,0,1.0,1
25,4,3,85,0,1.0,1
25,4,4,54,0,0.86405,1
25,4,5,43,1,0.19142,1
25,4,6,5,1,0.38036,1
25,4,7,37,1,0.49788,1
25,4,8,90,0,0.53371,1
25,4,9,59,0,1.0,1
25,5,0,21,0,1.0,1
25,5,1,69,0,1.0,1
25,5,2,60,0,0.99999,1
25,5,3,77,0,1.0,1
25,5,4,50,0,0.94273,1
25,5,5,87,1,0.78378,1
25,5,6,38,3,0.35177,1
25,5,7,1,4,0.06485,1
25,5,8,51,0,0.56756,1
25,5,9,20,0,1.0,1
25,6,0,17,0,1.0,1
25,6,1,73,0,1.0,1
25,6,2,91,0,1.0,1
25,6,3,42,0,0.98005,1
25,6,4,41,0,0.93044,1
25,6,5,79,0,0.50573,1
25,6,6,62,1,0.66422,1
25,6,7,99,1,0.99985,1
25,6,8,98,0,0.84381,1
25,6,9,18,0,1.0,1
25,7,0,0,0,1.0,1
25,7,1,55,0,0.99962,1
25,7,2,81,0,0.99769,1
25,7,3,96,0,0.89218,1
25,7,4,22,0,0.31152,1
25,7,5,28,4,0.05592,1
25,7,6,40,3,0.48187,1
25,7,7,36,3,0.53074,1
25,7,8,10,1,0.61646,1
25,7,9,78,0,1.0,1
25,8,0,3,0,1.0,1
25,8,1,63,0,1.0,1
25,8,2,7,0,0.49627,1
25,8,3,13,4,0.03969,1
25,8,4,32,1,0.92765,1
25,8,5,9,1,0.3502,1
25,8,6,45,1,0.84097,1
25,8,7,24,1,0.57673,1
25,8,8,68,2,0.32331,1
25,8,9,35,0,1.0,1
25,9,0,2,0,1.0,1
25,9,1,76,0,1.0,1
25,9,2,8,0,1.0,1
25,9,3,19,0,1.0,1
25,9,4,25,0,1.0,1
25,9,5,88,0,1.0,1
25,9,6,34,0,1.0,1
25,9,7,27,0,1.0,1
25,9,8,95,0,1.0,1
25,9,9,64,0,1.0,1
50,0,0,45,0,1.0,1
50,0,1,72,0,1.0,1
50,0,2,79,0,1.0,1
50,0,3,98,0,1.0,1
50,0,4,62,0,1.0,1
50,0,5,68,0,1.0,1
50,0,6,77,0,1.0,1
50,0,7,54,0,1.0,1
50,0,8,25,0,1.0,1
50,0,9,88,0,1.0,1
50,1,0,24,0,1.0,1
50,1,1,99,0,1.0,1
50,1,2,71,0,1.0,1
50,1,3,12,0,0.99712,1
50,1,4,1,0,0.53965,1
50,1,5,19,0,0.96898,1
50,1,6,89,0,1.0,1
50,1,7,17,0,0.65245,1
50,1,8,75,0,1.0,1
50,1,9,40,0,1.0,1
50,2,0,73,0,1.0,1
50,2,1,93,0,1.0,1
50,2,2,42,0,0.93805,1
50,2,3,39,0,0.9923,1
50,2,4,50,0,1.0,1
50,2,5,94,0,1.0,1
50,2,6,74,0,1.0,1
50,2,7,83,0,1.0,1
50,2,8,58,0,0.99931,1
50,2,9,87,0,1.0,1
50,3,0,76,0,1.0,1
50,3,1,52,0,0.99569,1
50,3,2,84,0,0.96687,1
50,3,3,13,0,0.995,1
50,3,4,8,0,0.81592,1
50,3,5,80,0,1.0,1
50,3,6,36,0,0.69702,1
50,3,7,32,0,0.58374,1
50,3,8,86,0,1.0,1
50,3,9,82,0,1.0,1
50,4,0,29,0,1.0,1
50,4,1,69,2,0.06875,1
50,4,2,90,1,0.99839,1
50,4,3,95,1,0.3389,1
50,4,4,97,0,0.96981,1
50,4,5,10,0,0.72991,1
50,4,6,26,1,0.37832,1
50,4,7,3,4,0.04748,1
50,4,8,78,0,0.91451,1
50,4,9,56,0,1.0,1
50,5,0,20,0,1.0,1
50,5,1,7,0,0.67453,1
50,5,2,81,3,0.89786,1
50,5,3,5,0,0.66187,1
50,5,4,57,0,0.9986,1
50,5,5,46,0,0.31788,1
50,5,6,60,1,0.94976,1
50,5,7,63,3,0.99998,1
50,5,8,47,0,0.87072,1
50,5,9,85,0,1.0,1
50,6,0,70,0,1.0,1
50,6,1,64,1,0.28173,1
50,6,2,41,1,0.54671,1
50,6,3,22,1,0.0453,1
50,6,4,27,3,0.07419,1
50,6,5,49,1,0.94571,1
50,6,6,16,4,0.06825,1
50,6,7,14,1,0.57385,1
50,6,8,37,0,0.43196,1
50,6,9,0,0,1.0,1
50,7,0,59,0,1.0,1
50,7,1,66,1,0.97855,1
50,7,2,65,1,0.23451,1
50,7,3,18,0,0.27129,1
50,7,4,21,0,0.2793,1
50,7,5,91,1,0.9875,1
50,7,6,33,1,0.54883,1
50,7,7,11,0,0.04177,1
50,7,8,30,0,0.48916,1
50,7,9,15,0,1.0,1
50,8,0,61,0,1.0,1
50,8,1,53,1,0.42067,1
50,8,2,44,3,0.17168,1
50,8,3,6,1,0.65118,1
50,8,4,34,1,0.90129,1
50,8,5,2,4,0.1044,1
50,8,6,92,4,0.99939,1
50,8,7,4,1,0.68045,1
50,8,8,35,0,0.36216,1
50,8,9,28,0,1.0,1
50,9,0,55,0,1.0,1
50,9,1,48,0,1.0,1
50,9,2,43,0,1.0,1
50,9,3,51,0,1.0,1
50,9,4,9,0,1.0,1
50,9,5,67,0,1.0,1
50,9,6,31,0,1.0,1
50,9,7,23,0,1.0,1
50,9,8,96,0,1.0,1
50,9,9,38,0,1.0,1
75,0,0,30,0,1.0,0
75,0,1,89,0,1.0,0
75,0,2,74,0,1.0,0
75,0,3,31,0,1.0,0
75,0,4,14,0,1.0,0
75,0,5,19,0,1.0,0
75,0,6,41,0,1.0,0
75,0,7,38,0,1.0,0
75,0,8,42,0,1.0,0
75,0,9,51,0,1.0,0
75,1,0,70,0,1.0,0
75,1,1,6,1,0.05167,0
75,1,2,3,0,0.44481,0
75,1,3,73,0,1.0,0
75,1,4,57,0,0.99986,0
75,1,5,72,0,0.99863,0
75,1,6,27,0,0.89875,0
75,1,7,45,0,0.60142,0
75,1,8,81,0,0.83878,0
75,1,9,85,0,1.0,0
75,2,0,84,0,1.0,0
75,2,1,44,1,0.90967,0
75,2,2,20,1,0.75987,0
75,2,3,46,0,0.82457,0
75,2,4,39,0,0.84735,0
75,2,5,77,0,0.98834,0
75,2,6,64,0,0.99575,0
75,2,7,82,0,0.98585,0
75,2,8,94,0,0.86393,0
75,2,9,28,0,1.0,0
75,3,0,97,0,1.0,0
75,3,1,8,1,0.87611,0
75,3,2,11,3,0.21475,0
75,3,3,86,1,0.2705,0
75,3,4,90,1,0.10426,0
75,3,5,61,1,0.2203,0
75,3,6,1,0,0.60778,0
75,3,7,32,1,0.44296,0
75,3,8,96,4,0.99998,0
75,3,9,52,0,1.0,0
75,4,0,53,0,1.0,0
75,4,1,49,1,0.8345,0
75,4,2,56,4,0.11382,0
75,4,3,35,1,0.65369,0
75,4,4,22,1,0.63427,0
75,4,5,50,1,0.82753,0
75,4,6,92,3,0.072,0
75,4,7,95,1,0.99961,0
75,4,8,34,2,0.03228,0
75,4,9,55,0,1.0,0
75,5,0,26,0,1.0,0
75,5,1,78,1,0.99994,0
75,5,2,9,1,0.40626,0
75,5,3,87,1,0.67583,0
75,5,4,98,1,0.80677,0
75,5,5,99,1,0.90118,0
75,5,6,37,0,0.17929,0
75,5,7,59,3,0.56591,0
75,5,8,67,1,0.36085,0
75,5,9,33,0,1.0,0
75,6,0,25,0,1.0,0
75,6,1,48,1,0.33159,0
75,6,2,12,0,0.34356,0
75,6,3,58,0,0.99469,0
75,6,4,15,0,0.57252,0
75,6,5,47,0,0.99813,0
75,6,6,2,0,0.59823,0
75,6,7,7,4,0.03722,0
75,6,8,66,3,0.08381,0
75,6,9,43,0,1.0,0
75,7,0,36,0,1.0,0
75,7,1,76,0,0.62674,0
75,7,2,71,0,0.97008,0
75,7,3,29,0,0.99493,0
75,7,4,63,0,0.97355,0
75,7,5,23,0,0.84932,0
75,7,6,17,0,0.44493,0
75,7,7,18,1,0.51306,0
75,7,8,10,1,0.77426,0
75,7,9,5,0,1.0,0
75,8,0,54,0,1.0,0
75,8,1,68,0,0.8064,0
75,8,2,16,0,0.90222,0
75,8,3,13,0,0.26503,0
75,8,4,65,0,0.84275,0
75,8,5,80,0,0.65822,0
75,8,6,4,4,0.11326,0
75,8,7,91,1,0.98481,0
75,8,8,21,1,0.91491,0
75,8,9,75,0,1.0,0
75,9,0,62,0,1.0,0
75,9,1,83,0,1.0,0
75,9,2,93,0,1.0,0
75,9,3,69,0,1.0,0
75,9,4,0,0,1.0,0
75,9,5,24,0,1.0,0
75,9,6,79,0,1.0,0
75,9,7,40,0,1.0,0
75,9,8,60,0,1.0,0
75,9,9,88,0,1.0,0
100,0,0,12,0,1.0,0
100,0,1,35,0,1.0,0
100,0,2,30,0,1.0,0
100,0,3,48,0,1.0,0
100,0,4,81,0,1.0,0
100,0,5,36,0,1.0,0
100,0,6,88,0,1.0,0
100,0,7,44,0,1.0,0
100,0,8,97,0,1.0,0
100,0,9,52,0,1.0,0
100,1,0,50,0,1.0,0
100,1,1,99,0,1.0,0
100,1,2,56,0,1.0,0
100,1,3,14,0,0.88353,0
