group,reveal_step,n,median_p
interior,0,3243,0.44535
interior,1,3182,0.44744
interior,2,3178,0.44494
interior,3,3181,0.44787
interior,4,3212,0.45661
interior,5,3215,0.47131
interior,6,3191,0.48157
interior,7,3186,0.48796
interior,8,3238,0.48688
interior,9,3267,0.51027
interior,10,3203,0.52034
interior,11,3203,0.54335
interior,12,3193,0.53464
interior,13,3123,0.54057
interior,14,3238,0.55329
interior,15,3228,0.56662
interior,16,3202,0.57314
interior,17,3257,0.57359
interior,18,3163,0.57113
interior,19,3133,0.58393
interior,20,3197,0.61375
interior,21,3164,0.62623
interior,22,3237,0.63697
interior,23,3194,0.62138
interior,24,3187,0.64268
interior,25,3178,0.64051
interior,26,3203,0.65903
interior,27,3153,0.65472
interior,28,3222,0.68366
interior,29,3176,0.67663
interior,30,3092,0.67644
interior,31,3157,0.65117
interior,32,3260,0.67845
interior,33,3194,0.69394
interior,34,3252,0.68449
interior,35,3227,0.70152
interior,36,3136,0.71155
interior,37,3160,0.71834
interior,38,3197,0.71842
interior,39,3252,0.71846
interior,40,3230,0.73062
interior,41,3161,0.74033
interior,42,3200,0.72508
interior,43,3199,0.73919
interior,44,3215,0.7404
interior,45,3199,0.74805
interior,46,3268,0.75623
interior,47,3288,0.76434
interior,48,3199,0.76586
interior,49,3256,0.78146
interior,50,3116,0.76565
interior,51,3183,0.77935
interior,52,3197,0.77393
interior,53,3190,0.78623
interior,54,3140,0.7838
interior,55,3247,0.78502
interior,56,3158,0.80054
interior,57,3223,0.79742
interior,58,3163,0.80717
interior,59,3194,0.8052
interior,60,3218,0.81038
interior,61,3251,0.79589
interior,62,3229,0.82905
interior,63,3198,0.83374
interior,64,3224,0.8336
interior,65,3223,0.84234
interior,66,3167,0.84717
interior,67,3230,0.84523
interior,68,3180,0.83717
interior,69,3206,0.85986
interior,70,3212,0.86345
interior,71,3176,0.87582
interior,72,3186,0.87277
interior,73,3276,0.87824
interior,74,3207,0.89211
interior,75,3205,0.88772
interior,76,3163,0.90108
interior,77,3189,0.90963
interior,78,3239,0.91512
interior,79,3194,0.91087
interior,80,3243,0.91293
interior,81,3163,0.92317
interior,82,3186,0.92737
interior,83,3179,0.94559
interior,84,3194,0.94972
interior,85,3199,0.95174
interior,86,3170,0.96066
interior,87,3192,0.96901
interior,88,3142,0.9812
interior,89,3206,0.97877
interior,90,3193,0.98393
interior,91,3189,0.99067
interior,92,3196,0.99228
interior,93,3228,0.9949
interior,94,3209,0.99788
interior,95,3220,0.99922
interior,96,3164,0.99963
interior,97,3303,0.99977
interior,98,3153,0.99985
interior,99,3198,0.99989
border,0,1757,1.0
border,1,1818,1.0
border,2,1822,1.0
border,3,1819,1.0
border,4,1788,1.0
border,5,1785,1.0
border,6,1809,1.0
border,7,1814,1.0
border,8,1762,1.0
border,9,1733,1.0
border,10,1797,1.0
border,11,1797,1.0
border,12,1807,1.0
border,13,1877,1.0
border,14,1762,1.0
border,15,1772,1.0
border,16,1798,1.0
border,17,1743,1.0
border,18,1837,1.0
border,19,1867,1.0
border,20,1803,1.0
border,21,1836,1.0
border,22,1763,1.0
border,23,1806,1.0
border,24,1813,1.0
border,25,1822,1.0
border,26,1797,1.0
border,27,1847,1.0
border,28,1778,1.0
border,29,1824,1.0
border,30,1908,1.0
border,31,1843,1.0
border,32,1740,1.0
border,33,1806,1.0
border,34,1748,1.0
border,35,1773,1.0
border,36,1864,1.0
border,37,1840,1.0
border,38,1803,1.0
border,39,1748,1.0
border,40,1770,1.0
border,41,1839,1.0
border,42,1800,1.0
border,43,1801,1.0
border,44,1785,1.0
border,45,1801,1.0
border,46,1732,1.0
border,47,1712,1.0
border,48,1801,1.0
border,49,1744,1.0
border,50,1884,1.0
border,51,1817,1.0
border,52,1803,1.0
border,53,1810,1.0
border,54,1860,1.0
border,55,1753,1.0
border,56,1842,1.0
border,57,1777,1.0
border,58,1837,1.0
border,59,1806,1.0
border,60,1782,1.0
border,61,1749,1.0
border,62,1771,1.0
border,63,1802,1.0
border,64,1776,1.0
border,65,1777,1.0
border,66,1833,1.0
border,67,1770,1.0
border,68,1820,1.0
border,69,1794,1.0
border,70,1788,1.0
border,71,1824,1.0
border,72,1814,1.0
border,73,1724,1.0
border,74,1793,1.0
border,75,1795,1.0
border,76,1837,1.0
border,77,1811,1.0
border,78,1761,1.0
border,79,1806,1.0
border,80,1757,1.0
border,81,1837,1.0
border,82,1814,1.0
border,83,1821,1.0
border,84,1806,1.0
border,85,1801,1.0
border,86,1830,1.0
border,87,1808,1.0
border,88,1858,1.0
border,89,1794,1.0
border,90,1807,1.0
border,91,1811,1.0
border,92,1804,1.0
border,93,1772,1.0
border,94,1791,1.0
border,95,1780,1.0
border,96,1836,1.0
border,97,1697,1.0
border,98,1847,1.0
border,99,1802,1.0
