distance,generated_pct,held_out_pct,generated_n,held_out_n
0,0.01000,0.03800,5,19
1,0.03800,0.21000,19,105
2,0.25200,0.68800,126,344
3,0.65400,1.13000,327,565
4,1.66600,2.15600,833,1078
5,2.97000,3.26400,1485,1632
6,4.75400,4.33400,2377,2167
7,5.53200,5.24800,2766,2624
8,6.62400,6.01400,3312,3007
9,7.56600,7.37600,3783,3688
10,8.74600,8.81200,4373,4406
11,9.63600,9.67800,4818,4839
12,10.51400,10.20400,5257,5102
13,10.27000,10.30200,5135,5151
14,9.46400,9.40000,4732,4700
15,8.03800,7.80600,4019,3903
16,6.11600,6.03000,3058,3015
17,3.90000,3.92400,1950,1962
18,2.02000,2.10400,1010,1052
19,0.89200,0.90400,446,452
20,0.27200,0.31400,136,157
21,0.05000,0.06000,25,30
22,0.01600,0.00400,8,2
