sample_id,row,col,revealed_at,committed_class,commit_prob
11,0,0,73,0,1.0
11,0,1,71,0,1.0
11,0,2,54,0,1.0
11,0,3,61,0,1.0
11,0,4,56,0,1.0
11,0,5,47,0,1.0
11,0,6,16,0,1.0
11,0,7,31,0,1.0
11,0,8,12,0,1.0
11,0,9,13,0,1.0
11,1,0,95,0,1.0
11,1,1,29,1,0.66122
11,1,2,5,3,0.01374
11,1,3,37,1,0.35002
11,1,4,30,1,0.4824
11,1,5,38,1,0.46606
11,1,6,79,4,0.9999
11,1,7,49,1,0.37592
11,1,8,78,1,0.35494
11,1,9,15,0,1.0
11,2,0,97,0,1.0
11,2,1,59,1,0.43589
11,2,2,87,2,0.99998
11,2,3,64,0,0.4489
11,2,4,10,1,0.58545
11,2,5,28,0,0.45082
11,2,6,91,4,0.48455
11,2,7,68,1,0.68053
11,2,8,62,1,0.3771
11,2,9,53,0,1.0
11,3,0,81,0,1.0
11,3,1,7,1,0.5617
11,3,2,8,0,0.6715
11,3,3,19,1,0.07295
11,3,4,55,1,0.51953
11,3,5,52,0,0.78366
11,3,6,41,0,0.82341
11,3,7,82,3,0.12792
11,3,8,45,0,0.51242
11,3,9,3,0,1.0
11,4,0,21,0,1.0
11,4,1,75,0,0.20266
11,4,2,92,0,0.7726
11,4,3,22,3,0.04049
11,4,4,27,1,0.58731
11,4,5,96,0,0.90446
11,4,6,44,4,0.02105
11,4,7,20,1,0.42423
11,4,8,93,1,0.4667
11,4,9,85,0,1.0
11,5,0,26,0,1.0
11,5,1,14,0,0.23064
11,5,2,57,0,0.90443
11,5,3,34,1,0.67871
11,5,4,86,0,0.43974
11,5,5,89,1,0.19335
11,5,6,0,1,0.29361
11,5,7,43,1,0.5634
11,5,8,60,0,0.42892
11,5,9,42,0,1.0
11,6,0,1,0,1.0
11,6,1,32,0,0.98423
11,6,2,58,1,0.01966
11,6,3,76,3,0.63759
11,6,4,18,1,0.2378
11,6,5,25,1,0.51451
11,6,6,35,4,0.08534
11,6,7,84,1,0.65018
11,6,8,65,1,0.6737
11,6,9,11,0,1.0
11,7,0,36,0,1.0
11,7,1,94,0,0.99783
11,7,2,77,1,0.82977
11,7,3,99,1,0.99994
11,7,4,48,1,0.48735
11,7,5,80,1,0.83279
11,7,6,33,1,0.4594
11,7,7,67,1,0.70575
11,7,8,4,1,0.39135
11,7,9,23,0,1.0
11,8,0,83,0,1.0
11,8,1,66,0,0.99994
11,8,2,9,0,0.49398
11,8,3,39,0,0.9214
11,8,4,63,0,0.58128
11,8,5,51,1,0.11379
11,8,6,69,0,0.36692
11,8,7,46,0,0.29564
11,8,8,88,0,0.92693
11,8,9,90,0,1.0
11,9,0,50,0,1.0
11,9,1,2,0,1.0
11,9,2,6,0,1.0
11,9,3,72,0,1.0
11,9,4,24,0,1.0
11,9,5,70,0,1.0
11,9,6,98,0,1.0
11,9,7,40,0,1.0
11,9,8,74,0,1.0
11,9,9,17,0,1.0
746,0,0,18,0,1.0
746,0,1,20,0,1.0
746,0,2,7,0,1.0
746,0,3,75,0,1.0
746,0,4,49,0,1.0
746,0,5,67,0,1.0
746,0,6,71,0,1.0
746,0,7,9,0,1.0
746,0,8,81,0,1.0
746,0,9,93,0,1.0
746,1,0,5,0,1.0
746,1,1,62,0,1.0
746,1,2,1,0,0.53707
746,1,3,94,0,1.0
746,1,4,76,0,1.0
746,1,5,96,0,1.0
746,1,6,43,0,0.99998
746,1,7,44,0,0.99908
746,1,8,14,0,0.59179
746,1,9,65,0,1.0
746,2,0,46,0,1.0
746,2,1,77,0,1.0
746,2,2,78,0,1.0
746,2,3,73,0,1.0
746,2,4,3,0,0.64727
746,2,5,70,0,1.0
746,2,6,27,0,0.98742
746,2,7,52,0,0.9997
746,2,8,51,0,0.98932
746,2,9,86,0,1.0
746,3,0,37,0,1.0
746,3,1,36,0,0.99994
746,3,2,97,0,1.0
746,3,3,84,0,1.0
746,3,4,74,0,1.0
746,3,5,69,0,1.0
746,3,6,11,0,0.7091
746,3,7,90,0,1.0
746,3,8,56,0,1.0
746,3,9,47,0,1.0
746,4,0,85,0,1.0
746,4,1,98,0,1.0
746,4,2,25,0,0.95672
746,4,3,0,0,0.57936
746,4,4,19,0,0.96732
746,4,5,21,0,0.9757
746,4,6,59,0,1.0
746,4,7,55,0,1.0
746,4,8,95,0,1.0
746,4,9,24,0,1.0
746,5,0,92,0,1.0
746,5,1,48,0,1.0
746,5,2,35,0,0.89636
746,5,3,89,0,0.98818
746,5,4,26,0,0.73816
746,5,5,82,0,1.0
746,5,6,63,0,1.0
746,5,7,30,0,0.5079
746,5,8,91,0,1.0
746,5,9,10,0,1.0
746,6,0,68,0,1.0
746,6,1,16,0,0.84725
746,6,2,57,1,0.71006
746,6,3,41,1,0.39244
746,6,4,72,0,0.45672
746,6,5,6,0,0.46669
746,6,6,34,0,0.5144
746,6,7,29,1,0.42742
746,6,8,53,0,0.27684
746,6,9,17,0,1.0
746,7,0,8,0,1.0
746,7,1,99,4,0.99991
746,7,2,42,3,0.09132
746,7,3,23,4,0.03591
746,7,4,45,3,0.67369
746,7,5,39,1,0.46391
746,7,6,40,3,0.72361
746,7,7,80,2,0.70854
